id,url,name,address1,address2,phone,fax,imgLink,imgMapLink,email,direction,lon,lat
0,https://www.heviva.ch/institutions/detail/ems/5-de-coeur-cat.html,"5 DE COEUR, CAT",Place de la Croix-Blanche 3,1066 Epalinges,021.784.10.54,021.784.10.54,https://www.heviva.ch/typo3temp/assets/_processed_/e/4/csm_5_DE_COEUR_70928363da.png,https://www.heviva.ch/typo3temp/assets/_processed_/2/b/csm_5-DE-COEUR_CAT_6822c35261.jpg,cat.epalinges@montcalme.ch,Madalina Martin,6.670779406914439,46.5479847
1,https://www.heviva.ch/institutions/detail/ems/alexandra-cpse.html,ALEXANDRA CPSE,CHP Alexandra. Route Fin-du-Craux 47,1822 Chernex,021/964.32.78,021/964.32.55,https://www.heviva.ch/typo3temp/assets/_processed_/9/2/csm_ALEXANDRA_EXT_S_01_1a4dc3912d.jpg,https://www.heviva.ch/typo3temp/assets/_processed_/b/6/csm_ALEXANDRA-CPSE_ae15cf164e.jpg,chp@cpsealexandra.ch,François Ayer,undefined,
2,https://www.heviva.ch/institutions/detail/ems/aubepines-ems-les.html,"AUBEPINES, EMS LES",Chemin des Aub&#xE9;pines 4,1004 Lausanne,021 648 44 11,021 648 43 30,https://www.heviva.ch/typo3temp/assets/_processed_/f/f/csm_AUBEPINES_EXTERIEUR_02_3187ab5fb9.jpg,https://www.heviva.ch/typo3temp/assets/_processed_/6/f/csm_AUBEPINES_EMS-LES_86ad4eb789.jpg,caffaro.direction@sispsa.ch,Dario Caffaro,undefined,
3,https://www.heviva.ch/institutions/detail/ems/aubonne-cat-de-lhopital-d.html,"AUBONNE, CAT Mémoire",Rue Tr&#xE9;velin 67,1170 Aubonne,079 172 84 51,021 821 41 14,https://www.heviva.ch/typo3temp/assets/_processed_/1/0/csm_AUBONNE_CAT__1__P_4231305661.jpg,https://www.heviva.ch/typo3temp/assets/_processed_/6/2/csm_AUBONNE_CAT-de-l_Ho__pital-d__dff0d1fd16.jpg,cat.aubonne@ehc.vd.ch,,undefined,
4,https://www.heviva.ch/institutions/detail/ems/baumettes-cat-de-lems-les.html,"BAUMETTES, CAT de l'EMS les",Avenue des Baumettes 120,1020 Renens,021 637 55 55,021 637 55 66,https://www.heviva.ch/typo3temp/assets/_processed_/f/7/csm_BAUMETTES_CAT_P_1565f832e3.jpg,https://www.heviva.ch/typo3temp/assets/_processed_/7/0/csm_BAUMETTES_CAT-de-l_EMS-les_720845e99a.jpg,baumettes@baumettes.ch,Stéphanie Bonvin,6.5897996,46.5416374
5,https://www.heviva.ch/institutions/detail/ems/baumettes-cs-de-lems-les.html,"BAUMETTES, CS de l'EMS les",Avenue des Baumettes 120,1020 Renens,021 637 55 55,021 637 55 66,https://www.heviva.ch/typo3temp/assets/_processed_/8/8/csm_Baumettes_1_7f02e9d0ce.png,https://www.heviva.ch/typo3temp/assets/_processed_/f/3/csm_BAUMETTES_CS-de-l_EMS-les_01_7af1deedd8.jpg,baumettes@baumettes.ch,Christian Fonjallaz,6.5897996,46.5416374
6,https://www.heviva.ch/institutions/detail/ems/baumettes-ems-les.html,"BAUMETTES, EMS LES",Avenue des Baumettes 120,1020 Renens,021 637 55 55,021 637 55 66,https://www.heviva.ch/typo3temp/assets/_processed_/f/7/csm_Baumettes_4_88816241b5.png,https://www.heviva.ch/typo3temp/assets/_processed_/4/3/csm_BAUMETTES-EMS-LES_56bd770015.jpg,baumettes@baumettes.ch,Christian Fonjallaz,6.5897996,46.5416374
7,https://www.heviva.ch/institutions/detail/ems/baumettes-lp-de-la-fondation-les.html,"BAUMETTES, LP de la Fondation les",Chemin d&apos;Eterpy 2/4,1020 Renens,021 637 55 55,021 637 55 66,https://www.heviva.ch/typo3temp/assets/_processed_/6/4/csm_Baumettes_5_20b3eb6e65.png,https://www.heviva.ch/typo3temp/assets/_processed_/c/1/csm_BAUMETTES_LP-de-la-Fondation_6063198969.jpg,baumettes@baumettes.ch,Stéphanie Bonvin,4.0082596,43.9045512
8,https://www.heviva.ch/institutions/detail/ems/beau-sejour-cs-de-lems.html,"BEAU-SEJOUR, CS de l'EMS",Rue des Communaux 2,1800 Vevey,021 925 90 00,021 925 90 09,https://www.heviva.ch/typo3temp/assets/_processed_/d/f/csm_BEAU_SEJOUR_EXT_S_01_6fafbc3766.jpg,https://www.heviva.ch/typo3temp/assets/_processed_/5/c/csm_BEAU-SEJOUR-CS-de-l_EMS_c37d5377c1.jpg,fondation@fondationbeausejour.ch,,6.8493404,46.4603156
9,https://www.heviva.ch/institutions/detail/ems/beau-sejour-ems.html,"BEAU-SEJOUR, EMS",Rue des Communaux 2,1800 Vevey,021 925 90 00,021 925 90 09,https://www.heviva.ch/typo3temp/assets/_processed_/c/0/csm_BEAU_SEJOUR_EXT_S_761d4faa2e.jpg,https://www.heviva.ch/typo3temp/assets/_processed_/9/8/csm_BEAU-SEJOUR_EMS_e3261328cf.jpg,fondation@fondationbeausejour.ch,Philippe Hirsiger,6.8493404,46.4603156
